tweet_id,favorites,retweets,date_time
672160042234327040,871,360,2015-12-02 21:06:56+00:00
672139350159835138,1743,714,2015-12-02 19:44:43+00:00
672125275208069120,2403,1148,2015-12-02 18:48:47+00:00
672095186491711488,1001,372,2015-12-02 16:49:14+00:00
672082170312290304,938,372,2015-12-02 15:57:30+00:00
672068090318987265,1289,523,2015-12-02 15:01:33+00:00
671896809300709376,8479,4195,2015-12-02 03:40:57+00:00
671891728106971137,1330,581,2015-12-02 03:20:45+00:00
671882082306625538,3458,1390,2015-12-02 02:42:26+00:00
671879137494245376,1414,688,2015-12-02 02:30:43+00:00
671874878652489728,1242,566,2015-12-02 02:13:48+00:00
671866342182637568,1112,505,2015-12-02 01:39:53+00:00
671855973984772097,904,447,2015-12-02 00:58:41+00:00
671789708968640512,7045,3510,2015-12-01 20:35:22+00:00
671768281401958400,1192,526,2015-12-01 19:10:13+00:00
671763349865160704,1678,931,2015-12-01 18:50:38+00:00
671744970634719232,1353,781,2015-12-01 17:37:36+00:00
671743150407421952,745,235,2015-12-01 17:30:22+00:00
671735591348891648,1441,759,2015-12-01 17:00:19+00:00
671729906628341761,8487,4389,2015-12-01 16:37:44+00:00
671561002136281088,12786,7279,2015-12-01 05:26:34+00:00
671550332464455680,911,208,2015-12-01 04:44:10+00:00
671547767500775424,1351,602,2015-12-01 04:33:59+00:00
671544874165002241,1972,1056,2015-12-01 04:22:29+00:00
671542985629241344,1088,567,2015-12-01 04:14:59+00:00
671538301157904385,926,398,2015-12-01 03:56:22+00:00
671536543010570240,1165,412,2015-12-01 03:49:23+00:00
671533943490011136,1013,585,2015-12-01 03:39:03+00:00
671528761649688577,838,263,2015-12-01 03:18:27+00:00
671520732782923777,1397,531,2015-12-01 02:46:33+00:00
671518598289059840,951,292,2015-12-01 02:38:04+00:00
671511350426865664,1603,727,2015-12-01 02:09:16+00:00
671504605491109889,6995,3568,2015-12-01 01:42:28+00:00
671497587707535361,911,452,2015-12-01 01:14:35+00:00
671488513339211776,1010,471,2015-12-01 00:38:31+00:00
